"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"276","2014-15","24","ORL","NBA","C","74","74","34.2","8.5","16.3",".523","0.0","0.1",".333","8.5","16.2",".524",".524","2.2","2.9",".752","3.2","7.7","10.9","2.0","0.7","0.7","2.0","3.0","19.3","vucevni01"
"277","2015-16","25","ORL","NBA","C","65","60","31.3","8.2","16.1",".510","0.0","0.1",".222","8.2","16.0",".512",".511","1.7","2.3",".753","2.7","6.2","8.9","2.8","0.8","1.1","1.9","2.7","18.2","vucevni01"
"278","2016-17","26","ORL","NBA","C","47","27","28.3","6.3","13.2",".475","0.3","1.0",".292","6.0","12.1",".490",".486","1.2","1.9",".640","2.2","7.6","9.7","2.9","0.9","1.0","1.6","2.4","14.0","vucevni01"
"279","2010-11","21","SAC","NBA","C","1","0","2.0","0.0","0.0","","0.0","0.0","","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","whiteha01"
"280","2011-12","22","SAC","NBA","C","18","0","6.1","0.7","1.5",".444","0.0","0.0","","0.7","1.5",".444",".444","0.3","0.7",".417","0.9","1.3","2.2","0.0","0.2","0.8","0.3","0.7","1.6","whiteha01"
"281","2012-13","23","Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"whiteha01"
"282","2013-14","24","Did Not Play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"whiteha01"
"283","2014-15","25","MIA","NBA","C","48","32","23.8","5.1","8.1",".628","0.0","0.0","","5.1","8.1",".628",".628","1.6","3.3",".500","3.0","7.0","10.0","0.1","0.6","2.6","1.2","2.7","11.8","whiteha01"
"284","2015-16","26","MIA","NBA","C","73","43","29.1","5.7","9.3",".606","0.0","0.0","","5.7","9.3",".606",".606","2.9","4.5",".650","3.3","8.6","11.8","0.4","0.6","3.7","1.9","2.8","14.2","whiteha01"
"285","2016-17","27","MIA","NBA","C","44","44","33.2","7.0","12.8",".547","0.0","0.0","","7.0","12.8",".547",".547","2.6","4.7",".551","3.7","10.1","13.7","0.7","0.8","2.0","2.1","3.1","16.6","whiteha01"
"286","2013-14","23","NOP","NBA","C","58","4","11.8","1.2","2.2",".535","0.0","0.0",".000","1.2","2.2",".539",".535","0.9","1.3",".712","0.8","1.7","2.6","0.4","0.3","0.9","0.3","1.3","3.3","witheje01"
"287","2014-15","24","NOP","NBA","C","37","0","7.0","0.9","1.7",".500","0.0","0.0","","0.9","1.7",".500",".500","0.9","1.4",".680","0.6","1.1","1.7","0.3","0.1","0.5","0.3","0.7","2.6","witheje01"
"288","2015-16","25","UTA","NBA","C","51","10","12.9","1.7","3.2",".537","0.0","0.0",".000","1.7","3.1",".544",".537","0.8","1.2",".729","1.1","2.3","3.4","0.4","0.4","1.0","0.5","1.5","4.3","witheje01"
"289","2016-17","26","UTA","NBA","C","27","0","8.3","0.9","1.6",".571","0.0","0.0",".000","0.9","1.5",".585",".571","0.7","1.0",".769","0.8","1.4","2.3","0.1","0.3","0.7","0.3","1.0","2.5","witheje01"
"290","2016-17","20","ORL","NBA","C","8","0","4.0","0.6","1.4",".455","0.0","0.0","","0.6","1.4",".455",".455","0.0","0.1",".000","0.5","1.3","1.8","0.1","0.1","0.1","0.0","0.1","1.3","zimmest01"
"291","2016-17","19","LAL","NBA","C","16","1","12.9","2.4","4.9",".494","0.0","0.0","","2.4","4.9",".494",".494","0.8","0.9",".867","1.3","2.6","3.9","0.6","0.3","0.6","0.8","1.3","5.7","zubaciv01"
"292","2016-17","24","NYK","NBA","C","6","0","10.3","0.5","0.7",".750","0.0","0.0","","0.5","0.7",".750",".750","0.5","1.0",".500","1.3","1.5","2.8","0.7","0.2","0.3","0.7","1.7","1.5","plumlma02"
