"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"335","2009-10","24","DEN","NBA","SG","75","0","27.8","5.7","13.8",".414","2.1","6.2",".338","3.6","7.5",".477",".491","1.9","2.7",".706","0.4","2.7","3.1","2.4","1.3","0.3","1.9","2.3","15.4","smithjr01"
"336","2010-11","25","DEN","NBA","SF","79","6","24.9","4.3","9.9",".435","1.6","4.0",".390","2.7","5.9",".466",".514","2.1","2.8",".738","0.6","3.5","4.1","2.2","1.2","0.2","1.3","2.2","12.3","smithjr01"
"337","2011-12","26","NYK","NBA","SG","35","1","27.6","4.7","11.6",".407","1.9","5.5",".347","2.8","6.1",".462",".490","1.1","1.6",".709","0.8","3.1","3.9","2.4","1.5","0.2","1.3","2.5","12.5","smithjr01"
"338","2012-13","27","NYK","NBA","SG","80","0","33.5","6.6","15.6",".422","1.9","5.5",".356","4.7","10.2",".458",".484","3.0","3.9",".762","0.8","4.5","5.3","2.7","1.3","0.3","1.7","2.8","18.1","smithjr01"
"339","2013-14","28","NYK","NBA","SF","74","37","32.7","5.4","12.9",".415","2.6","6.5",".394","2.8","6.4",".436",".514","1.2","1.9",".652","0.5","3.5","4.0","3.0","0.9","0.3","1.5","2.6","14.5","smithjr01"
"340","2014-15","29","TOT","NBA","SG","70","51","29.7","4.5","10.8",".417","2.3","6.1",".383","2.2","4.7",".462",".525","0.8","1.0",".750","0.4","2.7","3.1","2.8","1.2","0.3","1.4","2.3","12.1","smithjr01"
"341","2014-15","29","NYK","NBA","SG","24","6","25.8","4.2","10.5",".402","1.3","3.8",".356","2.9","6.7",".429",".466","1.1","1.6",".692","0.2","2.3","2.4","3.4","0.8","0.2","1.9","1.8","10.9","smithjr01"
"342","2014-15","29","CLE","NBA","SG","46","45","31.8","4.7","11.0",".425","2.8","7.3",".390","1.8","3.7",".494",".555","0.6","0.7",".818","0.6","2.9","3.5","2.5","1.4","0.4","1.1","2.6","12.7","smithjr01"
"343","2015-16","30","CLE","NBA","SG","77","77","30.7","4.6","11.0",".415","2.6","6.6",".400","1.9","4.4",".438",".535","0.6","0.9",".634","0.6","2.3","2.8","1.7","1.1","0.3","0.8","2.6","12.4","smithjr01"
"344","2016-17","31","CLE","NBA","SG","21","21","28.9","3.0","8.8",".337","2.4","6.6",".362","0.6","2.2",".261",".473","0.3","0.4",".778","0.4","1.8","2.1","1.2","1.2","0.4","0.7","2.2","8.6","smithjr01"
"345","2013-14","22","CHI","NBA","SG","77","12","16.0","1.7","4.4",".384","0.7","2.3",".320","0.9","2.1",".456",".469","0.4","0.5",".756","0.2","1.4","1.6","0.9","0.4","0.2","0.6","1.1","4.5","snellto01"
"346","2014-15","23","CHI","NBA","SF","72","22","19.6","2.2","5.2",".429","1.0","2.7",".371","1.2","2.4",".494",".527","0.6","0.8",".800","0.4","2.0","2.4","0.9","0.4","0.2","0.7","1.2","6.0","snellto01"
"347","2015-16","24","CHI","NBA","SF","64","33","20.3","2.0","5.3",".372","0.9","2.4",".361","1.1","2.9",".380",".454","0.5","0.5",".909","0.3","2.8","3.1","1.0","0.3","0.3","0.8","1.6","5.3","snellto01"
"348","2016-17","25","MIL","NBA","SF","46","46","29.0","3.0","6.6",".455","1.7","4.5",".383","1.3","2.1",".608",".586","0.5","0.6",".778","0.3","3.0","3.3","1.3","0.5","0.2","0.6","1.7","8.2","snellto01"
"349","2010-11","20","IND","NBA","SG","12","0","9.6","1.1","3.3",".333","0.0","0.4",".000","1.1","2.8",".382",".333","0.9","1.2",".786","0.1","1.4","1.5","1.8","0.3","0.0","1.3","1.2","3.1","stephla01"
"350","2011-12","21","IND","NBA","SG","42","1","10.5","1.1","3.0",".376","0.1","0.7",".133","1.0","2.3",".453",".392","0.2","0.4",".471","0.3","1.0","1.3","1.1","0.5","0.1","0.9","0.7","2.5","stephla01"
"351","2012-13","22","IND","NBA","SG","78","72","29.2","3.5","7.7",".460","0.8","2.4",".330","2.7","5.3",".520",".512","1.0","1.5",".652","0.6","3.3","3.9","2.9","1.0","0.2","1.4","2.1","8.8","stephla01"
"352","2013-14","23","IND","NBA","SG","78","78","35.3","5.5","11.2",".491","1.1","3.1",".352","4.4","8.0",".545",".540","1.8","2.5",".711","1.2","5.9","7.2","4.6","0.7","0.1","2.7","2.5","13.8","stephla01"
"353","2014-15","24","CHO","NBA","SG","61","25","25.8","3.4","9.0",".376","0.3","1.7",".171","3.1","7.3",".425",".393","1.1","1.8",".627","0.6","3.9","4.5","3.9","0.6","0.1","2.1","2.2","8.2","stephla01"
"354","2015-16","25","TOT","NBA","SF","69","13","19.9","3.3","6.9",".481","0.4","1.1",".385","2.9","5.7",".500",".513","1.3","1.6",".784","0.6","2.7","3.2","1.9","0.6","0.1","1.4","2.0","8.3","stephla01"
"355","2015-16","25","LAC","NBA","SF","43","10","15.8","1.9","3.9",".494","0.4","1.1",".404","1.5","2.8",".529",".551","0.5","0.7",".700","0.4","2.1","2.5","1.4","0.6","0.1","1.1","1.8","4.7","stephla01"
"356","2015-16","25","MEM","NBA","SF","26","3","26.6","5.6","11.8",".474","0.4","1.2",".355","5.2","10.7",".487",".492","2.5","3.1",".815","0.8","3.6","4.4","2.8","0.7","0.2","1.8","2.2","14.2","stephla01"
"357","2016-17","26","NOP","NBA","SG","6","0","27.0","4.3","9.2",".473","0.2","1.7",".100","4.2","7.5",".556",".482","0.8","1.3",".625","0.5","2.5","3.0","4.8","0.3","0.2","1.8","3.0","9.7","stephla01"
"358","2013-14","22","PHI","NBA","SF","77","41","22.6","2.2","4.8",".460","0.9","2.2",".401","1.4","2.7",".507",".550","0.7","0.9",".712","0.9","2.3","3.2","0.9","0.7","0.2","0.8","1.9","6.0","thompho01"
"359","2014-15","23","PHI","NBA","SG","71","23","25.0","3.2","7.6",".413","1.6","4.0",".401","1.5","3.6",".426",".518","0.9","1.3",".708","0.7","2.0","2.8","1.2","0.8","0.4","0.9","2.0","8.8","thompho01"
"360","2015-16","24","PHI","NBA","SG","77","17","28.0","3.5","8.8",".397","1.9","5.1",".380","1.6","3.7",".420",".507","0.9","1.2",".719","0.7","2.8","3.5","1.3","0.5","0.3","1.0","2.4","9.8","thompho01"
"361","2016-17","25","PHI","NBA","SG","31","1","18.1","2.1","5.1",".415","0.8","2.3",".366","1.3","2.8",".455",".497","0.4","0.6",".650","0.5","2.2","2.7","0.8","0.5","0.2","0.3","1.8","5.5","thompho01"
"362","2014-15","19","MIN","NBA","SF","82","82","36.2","6.1","13.9",".437","0.5","1.5",".310","5.6","12.3",".453",".454","4.3","5.7",".760","1.6","2.9","4.6","2.1","1.0","0.6","2.2","2.3","16.9","wiggian01"
"363","2015-16","20","MIN","NBA","SF","81","81","35.1","7.3","16.0",".459","0.7","2.3",".300","6.6","13.6",".486",".481","5.3","7.0",".761","1.3","2.3","3.6","2.0","1.0","0.6","2.2","2.0","20.7","wiggian01"
"364","2016-17","21","MIN","NBA","SF","48","48","37.1","8.1","18.0",".450","1.2","3.4",".348","6.9","14.6",".474",".483","4.7","6.3",".740","1.2","3.0","4.3","2.5","0.8","0.4","2.5","2.2","22.1","wiggian01"
"365","2014-15","19","BOS","NBA","SG","31","0","10.7","1.2","3.3",".353","0.5","2.1",".258","0.6","1.2",".528",".436","0.5","0.9",".552","0.3","1.1","1.4","0.4","0.3","0.1","0.2","0.7","3.4","youngja01"
"366","2015-16","20","BOS","NBA","SG","29","0","6.9","0.4","1.2",".306","0.2","0.9",".231","0.2","0.3",".500",".389","0.0","0.1",".250","0.1","0.8","0.9","0.3","0.2","0.0","0.2","0.6","1.0","youngja01"
