"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"370","2012-13","19","NOH","NBA","PF","64","60","28.8","5.5","10.6",".516","0.0","0.1",".000","5.5","10.5",".521",".516","2.6","3.5",".751","2.6","5.6","8.2","1.0","1.2","1.8","1.4","2.5","13.5","davisan02"
"371","2013-14","20","NOP","NBA","PF","67","66","35.2","7.8","15.0",".519","0.0","0.1",".222","7.8","14.9",".522",".520","5.2","6.6",".791","3.1","7.0","10.0","1.6","1.3","2.8","1.6","3.0","20.8","davisan02"
"372","2014-15","21","NOP","NBA","PF","68","68","36.1","9.4","17.6",".535","0.0","0.2",".083","9.4","17.5",".540",".536","5.5","6.8",".805","2.5","7.7","10.2","2.2","1.5","2.9","1.4","2.1","24.4","davisan02"
"373","2015-16","22","NOP","NBA","C","61","61","35.5","9.2","18.6",".493","0.6","1.8",".324","8.6","16.9",".511",".508","5.3","7.0",".758","2.1","8.1","10.3","1.9","1.3","2.0","2.0","2.4","24.3","davisan02"
"374","2016-17","23","NOP","NBA","C","45","45","36.0","10.1","20.3",".497","0.5","1.7",".293","9.6","18.6",".516",".509","7.1","9.0",".795","2.4","9.9","12.3","2.2","1.3","2.4","2.6","2.3","27.8","davisan02"
"375","2016-17","21","GSW","NBA","C","2","0","8.0","0.0","0.5",".000","0.0","0.0","","0.0","0.5",".000",".000","0.0","0.0","","0.0","0.5","0.5","0.0","0.5","0.0","1.5","2.0","0.0","jonesda03"
"376","2013-14","23","BRK","NBA","C","70","22","18.2","2.8","4.3",".659","0.0","0.0",".000","2.8","4.3",".666",".659","1.7","2.8",".626","1.4","3.0","4.4","0.9","0.7","0.8","1.1","2.4","7.4","plumlma01"
"377","2014-15","24","BRK","NBA","C","82","45","21.3","3.4","6.0",".573","0.0","0.0",".000","3.4","5.9",".576",".573","1.9","3.9",".495","2.1","4.1","6.2","0.9","0.8","0.8","1.3","2.5","8.7","plumlma01"
"378","2015-16","25","POR","NBA","C","82","82","25.4","3.3","6.3",".516","0.0","0.0",".000","3.3","6.3",".520",".516","2.6","4.1",".642","2.5","5.2","7.7","2.8","0.8","1.0","1.9","3.1","9.1","plumlma01"
"379","2016-17","26","POR","NBA","C","50","50","28.0","4.4","8.3",".531","0.0","0.1",".000","4.4","8.2",".538",".531","2.2","4.1",".552","2.1","5.8","8.0","4.1","1.0","1.2","1.6","2.7","11.1","plumlma01"
