"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"1579","Home","86","72","2408","402","924","176","451","151","185","31","278","163","70","19","108","206","1131",".435",".390",".816",".562","21.9","109","103","28.0","13.2","3.2","1.9","hoodro01"
"1580","Road","82","67","2335","363","902","128","390","140","172","26","249","207","56","17","108","205","994",".402",".328",".814",".508","21.6","103","110","28.5","12.1","3.0","2.5","hoodro01"
"1581","Pre","113","94","3147","503","1223","200","566","208","255","36","367","234","75","25","147","293","1414",".411",".353",".816",".530","22.2","105","108","27.8","12.5","3.2","2.1","hoodro01"
"1582","Post","55","45","1596","262","603","104","275","83","102","21","160","136","51","11","69","118","711",".434",".378",".814",".549","20.9","108","104","29.0","12.9","2.9","2.5","hoodro01"
"1583","Win","92","77","2616","456","1028","182","463","169","198","35","306","203","82","24","123","229","1263",".444",".393",".854",".566","22.4","111","100","28.4","13.7","3.3","2.2","hoodro01"
"1584","Loss","76","62","2127","309","798","122","378","122","159","22","221","167","44","12","93","182","862",".387",".323",".767",".497","21.0","100","115","28.0","11.3","2.9","2.2","hoodro01"
"1585","October","8","6","217","38","96","11","40","10","13","2","24","12","8","3","9","26","97",".396",".275",".769",".477","23.8","96","105","27.1","12.1","3.0","1.5","hoodro01"
"1586","November","32","27","907","148","351","54","158","65","78","10","109","79","27","8","42","79","415",".422",".342",".833",".539","22.0","107","106","28.3","13.0","3.4","2.5","hoodro01"
"1587","December","41","31","1011","135","358","56","178","59","77","14","111","72","22","8","49","107","385",".377",".315",".766",".491","20.5","98","111","24.7","9.4","2.7","1.8","hoodro01"
"1588","January","26","24","791","137","315","66","152","58","68","7","99","57","15","5","36","63","398",".435",".434",".853",".577","23.0","112","108","30.4","15.3","3.8","2.2","hoodro01"
"1589","February","18","13","542","92","218","36","89","35","42","6","56","49","14","4","23","42","255",".422",".404",".833",".539","22.0","109","107","30.1","14.2","3.1","2.7","hoodro01"
"1590","March","29","24","817","137","300","55","145","35","46","12","76","54","23","4","38","64","364",".457",".379",".761",".568","20.6","108","102","28.2","12.6","2.6","1.9","hoodro01"
"1591","April","14","14","458","78","188","26","79","29","33","6","52","47","17","4","19","30","211",".415",".329",".879",".521","22.8","107","104","32.7","15.1","3.7","3.4","hoodro01"
"1592","Sunday","17","14","530","84","211","29","92","19","28","6","58","39","19","4","24","37","216",".398",".315",".679",".484","22.1","97","105","31.2","12.7","3.4","2.3","hoodro01"
"1593","Monday","27","22","727","113","289","55","133","51","64","13","76","72","20","5","28","65","332",".391",".414",".797",".523","21.8","107","108","26.9","12.3","2.8","2.7","hoodro01"
"1594","Tuesday","19","15","510","95","215","38","102","38","46","5","53","43","18","4","23","48","266",".442",".373",".826",".565","23.9","112","112","26.8","14.0","2.8","2.3","hoodro01"
"1595","Wednesday","31","26","865","144","325","56","156","47","55","13","108","76","17","6","52","85","391",".443",".359",".855",".560","21.8","106","109","27.9","12.6","3.5","2.5","hoodro01"
"1596","Thursday","17","16","491","65","183","28","90","21","26","3","46","41","9","5","24","36","179",".355",".311",".808",".460","20.7","92","108","28.9","10.5","2.7","2.4","hoodro01"
"1597","Friday","28","21","783","125","284","51","133","53","69","6","81","46","20","5","34","68","354",".440",".383",".768",".563","21.2","109","103","28.0","12.6","2.9","1.6","hoodro01"
"1598","Saturday","29","25","837","139","319","47","135","62","69","11","105","53","23","7","31","72","387",".436",".348",".899",".554","21.3","111","104","28.9","13.3","3.6","1.8","hoodro01"
"1599","Starter","139","139","4251","708","1665","276","759","266","321","52","469","337","115","29","191","350","1958",".425",".364",".829",".542","22.0","107","107","30.6","14.1","3.4","2.4","hoodro01"
"1600","Reserve","29","0","491","57","161","28","82","25","36","5","58","33","11","7","25","61","167",".354",".341",".694",".472","19.3","92","107","16.9","5.8","2.0","1.1","hoodro01"
"1601","40+","6","6","256","54","114","18","50","17","20","2","30","15","5","1","4","13","143",".474",".360",".850",".582","23.9","123","110","42.6","23.8","5.0","2.5","hoodro01"
"1602","30-39","76","76","2601","436","1015","169","471","168","203","30","274","218","75","15","120","188","1209",".430",".359",".828",".547","22.2","109","107","34.2","15.9","3.6","2.9","hoodro01"
"1603","20-29","59","50","1494","230","563","94","253","87","106","20","177","107","37","14","75","155","641",".409",".372",".821",".526","21.3","101","105","25.3","10.9","3.0","1.8","hoodro01"
"1604","10-19","25","7","377","43","130","21","64","19","28","5","43","29","8","6","16","50","126",".331",".328",".679",".443","19.3","91","110","15.1","5.0","1.7","1.2","hoodro01"
"1605","0-9","2","0","14","2","4","2","3","0","0","0","3","1","1","0","1","5","6",".500",".667",NA,".750","17.9","107","98","7.1","3.0","1.5","0.5","hoodro01"
"1606","0 Days","34","28","911","142","352","45","154","68","80","14","99","75","25","9","47","90","397",".403",".292",".850",".513","22.4","102","107","26.8","11.7","2.9","2.2","hoodro01"
"1607","1 Day","89","74","2546","418","970","178","449","146","184","32","281","208","63","18","112","212","1160",".431",".396",".793",".552","21.5","109","107","28.6","13.0","3.2","2.3","hoodro01"
"1608","2 Days","29","25","869","142","345","60","161","53","64","7","94","61","27","5","42","74","397",".412",".373",".828",".532","22.1","104","105","30.0","13.7","3.2","2.1","hoodro01"
"1609","3+ Days","13","10","329","46","121","17","59","19","24","3","45","19","8","1","13","27","128",".380",".288",".792",".486","20.6","97","104","25.3","9.8","3.5","1.5","hoodro01"
"1610","Eastern","60","49","1739","282","679","119","324","98","117","28","186","136","49","9","79","154","781",".415",".367",".838",".535","21.7","106","105","29.0","13.0","3.1","2.3","hoodro01"
"1611","Western","108","90","3003","483","1147","185","517","193","240","29","341","234","77","27","137","257","1344",".421",".358",".804",".536","21.8","106","108","27.8","12.4","3.2","2.2","hoodro01"
"1612","Atlantic","23","19","652","96","250","37","108","47","55","8","64","58","12","3","26","43","276",".384",".343",".855",".503","21.2","106","108","28.4","12.0","2.8","2.5","hoodro01"
"1613","Central","16","14","488","91","204","39","103","22","24","11","65","33","20","2","24","50","243",".446",".379",".917",".566","23.1","110","101","30.5","15.2","4.1","2.1","hoodro01"
"1614","Northwest","31","28","867","146","336","50","144","49","63","9","91","69","26","10","34","80","391",".435",".347",".778",".538","21.6","109","108","28.0","12.6","2.9","2.2","hoodro01"
"1615","Pacific","37","31","1025","161","387","66","179","58","73","8","124","69","24","6","42","80","446",".416",".369",".795",".532","20.8","104","106","27.7","12.1","3.4","1.9","hoodro01"
"1616","Southeast","21","16","599","95","225","43","113","29","38","9","57","45","17","4","29","61","262",".422",".381",".763",".542","21.0","103","104","28.5","12.5","2.7","2.1","hoodro01"
"1617","Southwest","40","31","1111","176","424","69","194","86","104","12","126","96","27","11","61","97","507",".415",".356",".827",".540","22.9","105","110","27.8","12.7","3.2","2.4","hoodro01"
"1618","Atlanta","3","3","103","17","42","9","24","1","1","3","10","7","2","0","2","6","44",".405",".375","1.000",".518","19.5","111","99","34.3","14.7","3.3","2.3","hoodro01"
"1619","Boston","4","3","120","13","40","3","16","10","14","1","11","12","1","1","2","7","39",".325",".188",".714",".422","18.1","98","114","30.1","9.8","2.8","3.0","hoodro01"
"1620","Charlotte","5","4","142","29","62","15","36","10","12","2","18","15","4","0","5","15","83",".468",".417",".833",".617","24.3","120","105","28.4","16.6","3.6","3.0","hoodro01"
"1621","Chicago","3","3","105","17","49","6","20","5","6","2","14","5","1","0","4","8","45",".347",".300",".833",".436","25.3","92","104","35.0","15.0","4.7","1.7","hoodro01"
"1622","Cleveland","4","3","113","22","47","12","31","12","12","4","15","7","5","0","7","13","68",".468",".387","1.000",".650","25.4","124","110","28.2","17.0","3.8","1.8","hoodro01"
"1623","Dallas","8","6","229","35","97","9","37","12","16","4","26","23","7","0","10","19","91",".361",".243",".750",".437","23.6","96","114","28.6","11.4","3.3","2.9","hoodro01"
"1624","Denver","9","7","242","35","94","13","44","15","23","3","32","18","8","5","13","20","98",".372",".295",".652",".471","23.0","92","99","26.9","10.9","3.6","2.0","hoodro01"
"1625","Detroit","4","4","125","29","55","15","28","1","2","2","16","11","5","1","4","12","74",".527",".536",".500",".662","23.2","123","98","31.2","18.5","4.0","2.8","hoodro01"
"1626","Golden State","5","5","153","26","58","9","27","5","9","1","13","7","3","0","6","12","66",".448",".333",".556",".533","20.4","102","116","30.6","13.2","2.6","1.4","hoodro01"
"1627","Houston","9","8","261","45","99","24","54","23","27","0","23","28","12","5","16","19","137",".455",".444",".852",".618","22.5","118","110","29.0","15.2","2.6","3.1","hoodro01"
"1628","Indiana","2","2","49","10","18","1","4","2","2","1","9","3","4","0","3","10","23",".556",".250","1.000",".609","18.9","117","91","24.7","11.5","4.5","1.5","hoodro01"
"1629","LA Clippers","7","5","192","21","65","7","25","14","18","0","27","17","2","1","9","17","63",".323",".280",".778",".432","19.9","89","112","27.5","9.0","3.9","2.4","hoodro01"
"1630","LA Lakers","11","9","278","42","103","22","51","12","14","3","41","20","5","1","10","17","118",".408",".431",".857",".540","20.2","104","100","25.3","10.7","3.7","1.8","hoodro01"
"1631","Memphis","9","7","271","41","101","18","54","24","29","3","34","17","2","6","12","24","124",".406",".333",".828",".545","23.1","105","102","30.1","13.8","3.8","1.9","hoodro01"
"1632","Miami","4","2","99","14","36","5","14","5","6","0","6","5","2","1","4","17","38",".389",".357",".833",".492","20.2","95","105","24.9","9.5","1.5","1.3","hoodro01"
"1633","Milwaukee","3","2","96","13","35","5","20","2","2","2","11","7","5","1","6","7","33",".371",".250","1.000",".460","20.0","91","94","32.1","11.0","3.7","2.3","hoodro01"
"1634","Minnesota","9","9","247","36","86","10","34","9","10","2","23","24","7","2","9","28","91",".419",".294",".900",".503","19.1","108","107","27.5","10.1","2.6","2.7","hoodro01"
"1635","New Jersey","4","3","114","16","48","5","16","12","12","2","13","10","2","0","6","9","49",".333",".313","1.000",".460","23.1","100","103","28.5","12.3","3.3","2.5","hoodro01"
"1636","New Orleans","5","4","132","20","45","7","17","9","9","3","15","11","4","0","9","18","56",".444",".412","1.000",".572","20.5","107","110","26.4","11.2","3.0","2.2","hoodro01"
"1637","New York","4","3","134","26","57","10","25","7","8","3","17","14","3","0","2","11","69",".456",".400",".875",".570","22.6","124","113","33.4","17.3","4.3","3.5","hoodro01"
"1638","Oklahoma City","6","6","180","31","66","13","35","9","13","1","16","5","5","1","10","11","84",".470",".371",".692",".586","21.4","107","112","30.0","14.0","2.7","0.8","hoodro01"
"1639","Orlando","5","4","139","20","50","8","24","6","8","3","15","7","2","2","8","14","54",".400",".333",".750",".504","20.5","92","107","27.8","10.8","3.0","1.4","hoodro01"
"1640","Philadelphia","6","5","162","28","69","13","30","12","15","1","13","9","3","1","11","11","81",".406",".433",".800",".536","24.1","100","95","27.0","13.5","2.2","1.5","hoodro01"
"1641","Phoenix","8","7","215","39","91","17","44","15","19","3","24","14","9","3","6","17","110",".429",".386",".789",".554","22.9","112","96","26.9","13.8","3.0","1.8","hoodro01"
"1642","Portland","7","6","197","44","90","14","31","16","17","3","20","22","6","2","2","21","118",".489",".452",".941",".605","23.4","133","118","28.1","16.9","2.9","3.1","hoodro01"
"1643","Sacramento","6","5","186","33","70","11","32","12","13","1","19","11","5","1","11","17","89",".471",".344",".923",".588","20.5","110","111","31.1","14.8","3.2","1.8","hoodro01"
"1644","San Antonio","9","6","218","35","82","11","32","18","23","2","28","17","2","0","14","17","99",".427",".344",".783",".537","23.8","98","114","24.3","11.0","3.1","1.9","hoodro01"
"1645","Toronto","5","5","122","13","36","6","21","6","6","1","10","13","3","1","5","5","38",".361",".286","1.000",".492","17.0","106","121","24.5","7.6","2.0","2.6","hoodro01"
"1646","Washington","4","3","116","15","35","6","15","7","11","1","8","11","7","1","10","9","43",".429",".400",".636",".540","19.5","94","101","28.9","10.8","2.0","2.8","hoodro01"
"1647","Total","946","759","33006","4431","9582","880","2628","2642","3700","922","5007","4291","1514","440","1964","1776","12384",".462",".335",".714",".552","18.1","110","105","34.9","13.1","5.3","4.5","iguodan01"
"1648","Home","478","385","16728","2283","4854","424","1291","1358","1887","485","2519","2297","778","218","970","876","6348",".470",".328",".720",".558","18.1","111","104","35.0","13.3","5.3","4.8","iguodan01"
"1649","Road","468","374","16279","2148","4728","456","1337","1284","1813","437","2488","1994","736","222","994","900","6036",".454",".341",".708",".546","18.1","108","107","34.8","12.9","5.3","4.3","iguodan01"
"1650","Pre","631","486","21831","2862","6251","571","1730","1702","2361","601","3384","2753","1017","285","1304","1211","7997",".458",".330",".721",".549","17.9","109","105","34.6","12.7","5.4","4.4","iguodan01"
"1651","Post","315","273","11175","1569","3331","309","898","940","1339","321","1623","1538","497","155","660","565","4387",".471",".344",".702",".560","18.7","112","107","35.5","13.9","5.2","4.9","iguodan01"
"1652","Win","550","387","18572","2552","5232","558","1515","1388","1956","506","2876","2568","902","271","979","937","7050",".488",".368",".710",".579","17.2","116","101","33.8","12.8","5.2","4.7","iguodan01"
"1653","Loss","396","372","14435","1879","4350","322","1113","1254","1744","416","2131","1723","612","169","985","839","5334",".432",".289",".719",".521","19.3","102","112","36.5","13.5","5.4","4.4","iguodan01"
"1654","October","19","12","654","86","192","14","57","38","64","18","98","95","31","6","44","33","224",".448",".246",".594",".509","17.7","104","106","34.4","11.8","5.2","5.0","iguodan01"
"1655","November","170","124","5750","746","1629","177","463","407","573","173","947","701","249","91","373","357","2076",".458",".382",".710",".552","17.6","107","105","33.8","12.2","5.6","4.1","iguodan01"
"1656","December","170","128","5895","768","1675","153","484","505","657","157","853","692","278","80","348","320","2194",".459",".316",".769",".559","17.8","109","105","34.7","12.9","5.0","4.1","iguodan01"
"1657","January","191","151","6625","867","1868","163","511","529","752","182","1030","844","323","63","368","333","2426",".464",".319",".703",".552","17.6","111","105","34.7","12.7","5.4","4.4","iguodan01"
"1658","February","137","117","4895","676","1511","114","382","410","586","120","743","712","229","73","281","289","1876",".447",".298",".700",".530","19.0","107","104","35.7","13.7","5.4","5.2","iguodan01"
"1659","March","166","147","5923","843","1771","152","431","484","689","177","859","800","262","84","363","292","2322",".476",".353",".702",".560","18.8","111","107","35.7","14.0","5.2","4.8","iguodan01"
"1660","April","93","80","3265","445","936","107","300","269","379","95","477","447","142","43","187","152","1266",".475",".357",".710",".574","18.3","114","109","35.1","13.6","5.1","4.8","iguodan01"
"1661","Sunday","97","75","3383","427","907","87","242","289","408","113","534","419","163","51","206","178","1230",".471",".360",".708",".566","17.3","110","105","34.9","12.7","5.5","4.3","iguodan01"
"1662","Monday","115","90","3943","558","1183","128","361","293","404","107","596","493","168","58","213","199","1537",".472",".355",".725",".565","18.1","113","105","34.3","13.4","5.2","4.3","iguodan01"
"1663","Tuesday","116","91","3865","497","1077","88","303","267","392","105","548","525","177","45","219","192","1349",".461",".290",".681",".540","17.1","108","107","33.3","11.6","4.7","4.5","iguodan01"
"1664","Wednesday","215","180","7601","1032","2272","206","620","623","847","211","1151","1028","359","98","480","432","2893",".454",".332",".736",".547","18.8","109","106","35.4","13.5","5.4","4.8","iguodan01"
"1665","Thursday","52","31","1679","189","420","39","127","105","159","48","238","245","73","19","88","93","522",".450",".307",".660",".533","15.3","110","108","32.3","10.0","4.6","4.7","iguodan01"
"1666","Friday","203","174","7232","973","2148","167","527","590","841","213","1144","949","347","105","440","385","2703",".453",".317",".702",".537","18.6","107","104","35.6","13.3","5.6","4.7","iguodan01"
"1667","Saturday","148","118","5304","755","1575","165","448","475","649","125","796","632","227","64","318","297","2150",".479",".368",".732",".578","18.7","113","105","35.8","14.5","5.4","4.3","iguodan01"
"1668","Starter","759","759","28076","3921","8505","717","2164","2498","3465","794","4312","3693","1311","380","1766","1518","11057",".461",".331",".721",".551","19.2","109","106","37.0","14.6","5.7","4.9","iguodan01"
"1669","Reserve","187","0","4930","510","1077","163","464","144","235","128","695","598","203","60","198","258","1327",".474",".351",".613",".562","12.1","112","105","26.4","7.1","3.7","3.2","iguodan01"
"1670","40+","263","261","11314","1683","3661","287","889","1176","1574","311","1739","1463","521","144","727","509","4829",".460",".323",".747",".555","20.8","110","106","43.0","18.4","6.6","5.6","iguodan01"
"1671","30-39","432","394","15351","2058","4396","421","1220","1202","1704","452","2336","2016","712","210","908","844","5739",".468",".345",".705",".558","17.9","110","106","35.5","13.3","5.4","4.7","iguodan01"
"1672","20-29","227","97","5914","645","1425","156","477","254","408","151","879","763","269","81","310","375","1700",".453",".327",".623",".530","14.2","105","104","26.1","7.5","3.9","3.4","iguodan01"
"1673","10-19","24","7","427","45","100","16","42","10","14","8","53","49","12","5","19","48","116",".450",".381",".714",".546","12.8","108","105","17.8","4.8","2.2","2.0","iguodan01"
"1674","0 Days","218","181","7770","1047","2262","221","618","684","921","195","1188","928","332","106","486","426","2999",".463",".358",".743",".562","18.5","109","107","35.6","13.8","5.4","4.3","iguodan01"
"1675","1 Day","511","414","17772","2405","5189","457","1404","1379","1947","516","2707","2351","821","235","1037","965","6646",".463",".325",".708",".550","18.1","110","105","34.8","13.0","5.3","4.6","iguodan01"
"1676","2 Days","131","95","4521","595","1257","125","368","342","475","141","705","621","214","63","251","226","1657",".473",".340",".720",".565","17.2","114","107","34.5","12.6","5.4","4.7","iguodan01"
"1677","3+ Days","73","59","2512","336","755","67","198","212","319","59","348","344","121","27","158","129","951",".445",".338",".665",".531","19.0","105","105","34.4","13.0","4.8","4.7","iguodan01"
"1678","Eastern","515","448","18432","2464","5373","493","1479","1601","2228","518","2805","2415","858","261","1076","1050","7022",".459",".333",".719",".553","18.5","110","105","35.8","13.6","5.4","4.7","iguodan01"
"1679","Western","431","311","14574","1967","4209","387","1149","1041","1472","404","2202","1876","656","179","888","726","5362",".467",".337",".707",".552","17.7","109","105","33.8","12.4","5.1","4.4","iguodan01"
"1680","Atlantic","158","138","5732","767","1645","140","449","520","715","169","867","768","266","84","315","335","2194",".466",".312",".727",".560","18.2","113","105","36.3","13.9","5.5","4.9","iguodan01"
"1681","Central","177","151","6307","839","1828","176","515","540","747","161","940","791","293","92","357","338","2394",".459",".342",".723",".555","18.3","111","105","35.6","13.5","5.3","4.5","iguodan01"
"1682","Northwest","147","105","4970","691","1447","132","382","347","501","124","715","632","225","71","313","272","1861",".478",".346",".693",".558","18.0","108","106","33.8","12.7","4.9","4.3","iguodan01"
"1683","Pacific","141","104","4756","644","1374","127","376","368","510","142","735","637","222","59","279","214","1783",".469",".338",".722",".558","17.4","111","105","33.7","12.6","5.2","4.5","iguodan01"
"1684","Southeast","180","159","6393","858","1900","177","515","541","766","188","998","856","299","85","404","377","2434",".452",".344",".706",".544","19.0","107","106","35.5","13.5","5.5","4.8","iguodan01"
"1685","Southwest","143","102","4848","632","1388","128","391","326","461","138","752","607","209","49","296","240","1718",".455",".327",".707",".540","17.8","106","105","33.9","12.0","5.3","4.2","iguodan01"
"1686","Atlanta","36","32","1305","195","416","38","114","119","158","42","195","191","58","19","83","69","547",".469",".333",".753",".563","20.2","111","105","36.2","15.2","5.4","5.3","iguodan01"
"1687","Boston","38","34","1350","198","426","24","92","102","158","40","189","186","73","14","73","96","522",".465",".261",".646",".527","19.1","108","105","35.5","13.7","5.0","4.9","iguodan01"
"1688","CHA, CHO","35","30","1199","167","363","35","106","99","138","36","197","143","64","18","61","85","468",".460",".330",".717",".552","18.4","112","102","34.3","13.4","5.6","4.1","iguodan01"
"1689","Chicago","35","31","1252","186","411","34","105","108","169","32","194","148","53","25","80","69","514",".453",".324",".639",".530","20.3","105","106","35.8","14.7","5.5","4.2","iguodan01"
"1690","Cleveland","35","29","1275","177","361","37","107","128","168","34","195","154","49","19","75","75","519",".490",".346",".762",".597","18.5","115","107","36.4","14.8","5.6","4.4","iguodan01"
"1691","Dallas","28","20","961","120","295","29","79","61","89","34","171","126","37","12","52","39","330",".407",".367",".685",".494","18.2","104","104","34.3","11.8","6.1","4.5","iguodan01"
"1692","Denver","26","19","845","96","210","20","65","55","86","19","119","117","47","14","49","66","267",".457",".308",".640",".539","15.3","107","105","32.5","10.3","4.6","4.5","iguodan01"
"1693","Detroit","35","29","1244","161","359","38","100","97","128","35","202","155","58","17","76","58","457",".448",".380",".758",".550","18.7","110","105","35.6","13.1","5.8","4.4","iguodan01"
"1694","Golden State","19","19","713","110","269","23","69","75","97","28","134","100","42","10","42","35","318",".409",".333",".773",".510","21.2","109","102","37.5","16.7","7.1","5.3","iguodan01"
"1695","Houston","29","20","971","127","268","27","82","84","104","30","144","131","46","6","64","48","365",".474",".329",".808",".582","17.2","112","105","33.5","12.6","5.0","4.5","iguodan01"
"1696","Indiana","38","32","1345","158","371","34","102","108","151","35","183","175","65","16","60","59","458",".426",".333",".715",".524","16.6","110","105","35.4","12.1","4.8","4.6","iguodan01"
"1697","LA Clippers","31","22","1078","128","287","22","80","92","128","24","150","163","41","9","58","42","370",".446",".275",".719",".539","17.1","110","107","34.8","11.9","4.8","5.3","iguodan01"
"1698","LA Lakers","31","21","1017","137","301","25","82","62","87","26","148","134","43","13","63","45","361",".455",".305",".713",".532","17.5","106","107","32.8","11.6","4.8","4.3","iguodan01"
"1699","Memphis","30","22","1025","135","300","23","94","50","81","26","141","135","45","11","56","56","343",".450",".245",".617",".511","17.8","105","105","34.2","11.4","4.7","4.5","iguodan01"
"1700","Miami","38","33","1359","167","371","32","92","110","157","39","220","163","53","19","95","87","476",".450",".348",".701",".541","18.2","104","108","35.8","12.5","5.8","4.3","iguodan01"
"1701","Milwaukee","34","30","1189","157","326","33","101","99","131","25","166","159","68","15","66","77","446",".482",".327",".756",".581","17.3","115","104","35.0","13.1","4.9","4.7","iguodan01"
"1702","Minnesota","29","21","996","136","314","26","75","71","106","36","158","136","41","14","55","51","369",".433",".347",".670",".512","19.0","106","104","34.3","12.7","5.4","4.7","iguodan01"
"1703","NJN, BRK","40","35","1515","180","415","33","121","134","172","44","228","190","60","22","74","94","527",".434",".273",".779",".537","17.4","111","103","37.9","13.2","5.7","4.8","iguodan01"
"1704","NOH, NOK, NOP","28","19","943","123","267","27","78","60","86","24","138","105","34","11","60","49","333",".461",".346",".698",".546","18.0","104","105","33.7","11.9","4.9","3.8","iguodan01"
"1705","New York","38","34","1344","180","390","34","109","149","207","34","213","185","60","23","69","72","543",".462",".312",".720",".564","18.9","117","104","35.4","14.3","5.6","4.9","iguodan01"
"1706","SEA, OKC","28","20","951","129","274","21","64","52","69","23","125","134","46","12","66","50","331",".471",".328",".754",".544","17.5","106","107","34.0","11.8","4.5","4.8","iguodan01"
"1707","Orlando","36","32","1289","165","376","29","90","112","160","36","179","167","62","17","84","63","471",".439",".322",".700",".528","19.0","104","109","35.8","13.1","5.0","4.6","iguodan01"
"1708","Philadelphia","6","4","191","33","63","10","27","11","15","6","25","21","16","5","12","8","87",".524",".370",".733",".625","18.0","113","87","31.8","14.5","4.2","3.5","iguodan01"
"1709","Phoenix","30","20","965","130","259","26","68","72","98","32","153","103","43","13","55","35","358",".502",".382",".735",".592","16.1","115","109","32.2","11.9","5.1","3.4","iguodan01"
"1710","Portland","31","21","1073","174","343","38","99","93","125","31","164","131","46","16","70","61","479",".507",".384",".744",".602","19.9","114","106","34.6","15.5","5.3","4.2","iguodan01"
"1711","Sacramento","30","22","983","139","258","31","77","67","100","32","150","137","53","14","61","57","376",".539",".403",".670",".623","16.3","117","101","32.8","12.5","5.0","4.6","iguodan01"
"1712","San Antonio","28","21","948","127","258","22","58","71","101","24","158","110","47","9","64","48","347",".492",".379",".703",".574","17.8","107","105","33.8","12.4","5.6","3.9","iguodan01"
"1713","Toronto","36","31","1333","176","351","39","100","124","163","45","212","186","57","20","87","65","515",".501",".390",".761",".609","17.3","117","110","37.0","14.3","5.9","5.2","iguodan01"
"1714","Utah","33","24","1105","156","306","27","79","76","115","15","149","114","45","15","73","44","415",".510",".342",".661",".582","17.7","107","106","33.5","12.6","4.5","3.5","iguodan01"
"1715","Washington","35","32","1242","164","374","43","113","101","153","35","207","192","62","12","81","73","472",".439",".381",".660",".535","19.1","107","107","35.5","13.5","5.9","5.5","iguodan01"
"1716","Total","209","42","3943","380","875","215","550","76","99","50","452","388","180","18","211","315","1051",".434",".391",".768",".572","13.4","103","106","18.9","5.0","2.2","1.9","inglejo01"
"1717","Home","106","22","2126","223","473","126","295","45","59","29","241","199","110","6","124","179","617",".471",".427",".763",".618","13.7","108","103","20.1","5.8","2.3","1.9","inglejo01"
"1718","Road","103","20","1817","157","402","89","255","31","40","21","211","189","70","12","87","136","434",".391",".349",".775",".517","13.0","98","109","17.6","4.2","2.0","1.8","inglejo01"
"1719","Pre","150","25","2771","258","597","141","374","62","80","33","318","288","128","14","137","231","719",".432",".377",".775",".569","13.0","105","107","18.5","4.8","2.1","1.9","inglejo01"
"1720","Post","59","17","1172","122","278","74","176","14","19","17","134","100","52","4","74","84","332",".439",".420",".737",".580","14.3","99","102","19.9","5.6","2.3","1.7","inglejo01"
"1721","Win","106","22","1978","202","420","122","263","35","45","20","222","190","92","5","102","128","561",".481",".464",".778",".638","12.9","112","99","18.7","5.3","2.1","1.8","inglejo01"
"1722","Loss","103","20","1965","178","455","93","287","41","54","30","230","198","88","13","109","187","490",".391",".324",".759",".512","13.9","96","113","19.1","4.8","2.2","1.9","inglejo01"
"1723","October","8","0","107","11","23","4","11","2","2","1","15","8","4","0","4","10","28",".478",".364","1.000",".586","12.1","111","102","13.4","3.5","1.9","1.0","inglejo01"
"1724","November","44","1","698","59","137","33","88","13","19","6","71","62","28","2","30","58","164",".431",".375",".684",".564","11.8","100","108","15.9","3.7","1.6","1.4","inglejo01"
"1725","December","44","2","768","88","187","54","126","15","20","6","81","78","33","6","38","63","245",".471",".429",".750",".626","14.2","113","110","17.5","5.6","1.8","1.8","inglejo01"
"1726","January","45","19","1025","89","222","47","134","25","29","18","136","128","57","6","54","89","250",".401",".351",".862",".532","13.1","105","105","22.8","5.6","3.0","2.8","inglejo01"
"1727","February","21","8","360","29","69","10","37","8","12","5","39","29","15","1","22","28","76",".420",".270",".667",".512","12.3","91","103","17.2","3.6","1.9","1.4","inglejo01"
"1728","March","32","8","693","68","158","40","98","7","9","13","87","60","30","3","44","45","183",".430",".408",".778",".565","14.0","96","101","21.6","5.7","2.7","1.9","inglejo01"
"1729","April","15","4","292","36","79","27","56","6","8","1","23","23","13","0","19","22","105",".456",".482",".750",".636","16.2","106","105","19.5","7.0","1.5","1.5","inglejo01"
"1730","Sunday","18","2","253","20","52","15","37","4","7","3","29","23","5","1","17","18","59",".385",".405",".571",".536","13.5","81","106","14.1","3.3","1.6","1.3","inglejo01"
"1731","Monday","34","9","689","77","163","34","89","7","9","11","86","68","33","4","35","53","195",".472",".382",".778",".584","13.6","107","105","20.3","5.7","2.5","2.0","inglejo01"
"1732","Tuesday","23","4","502","46","101","27","68","14","16","5","55","46","20","1","30","46","133",".455",".397",".875",".616","12.7","107","109","21.8","5.8","2.4","2.0","inglejo01"
"1733","Wednesday","40","9","755","61","162","33","102","12","17","8","83","80","30","4","37","63","167",".377",".324",".706",".493","12.9","96","108","18.9","4.2","2.1","2.0","inglejo01"
"1734","Thursday","20","2","400","51","105","30","66","5","6","8","60","33","19","2","20","29","137",".486",".455",".833",".636","14.8","114","105","20.0","6.9","3.0","1.7","inglejo01"
"1735","Friday","37","9","645","49","125","29","83","18","27","7","60","66","45","3","29","54","145",".392",".349",".667",".530","12.0","103","102","17.4","3.9","1.6","1.8","inglejo01"
