"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> 3P%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id"
"26","Eastern","16","0","230","32","83","18","55","4","4","5","19","7","6","2","10","26","86",".386",".327","1.000",".507","17.9","98","110","14.4","5.4","1.2","0.4","abrinal01"
"27","Western","25","0","352","40","100","31","76","28","33","6","27","13","12","3","12","35","139",".400",".408",".848",".607","15.6","114","113","14.1","5.6","1.1","0.5","abrinal01"
"28","Atlantic","5","0","52","7","15","5","10","0","0","2","5","1","0","0","4","7","19",".467",".500",NA,".633","15.5","101","111","10.3","3.8","1.0","0.2","abrinal01"
"29","Central","6","0","81","10","29","4","17","2","2","1","5","6","2","1","3","4","26",".345",".235","1.000",".435","18.0","89","108","13.5","4.3","0.8","1.0","abrinal01"
"30","Northwest","7","0","91","8","28","7","21","6","6","0","9","6","3","0","1","11","29",".286",".333","1.000",".473","15.1","106","108","13.0","4.1","1.3","0.9","abrinal01"
"31","Pacific","11","0","121","14","32","10","24","12","15","3","10","4","6","2","7","14","50",".438",".417",".800",".648","15.9","104","113","11.0","4.5","0.9","0.4","abrinal01"
"32","Southeast","5","0","97","15","39","9","28","2","2","2","9","0","4","1","3","15","41",".385",".321","1.000",".514","19.0","103","112","19.4","8.2","1.8","0.0","abrinal01"
"33","Southwest","7","0","139","18","40","14","31","10","12","3","8","3","3","1","4","10","60",".450",".452",".833",".663","15.5","128","116","19.9","8.6","1.1","0.4","abrinal01"
"34","Atlanta","1","0","17","3","8","1","5","2","2","0","1","0","1","0","0","2","9",".375",".200","1.000",".507","22.4","119","117","17.3","9.0","1.0","0.0","abrinal01"
"35","Boston","2","0","11","1","2","1","1","0","0","2","2","1","0","0","0","3","3",".500","1.000",NA,".750","7.8","178","117","5.7","1.5","1.0","0.5","abrinal01"
"36","Charlotte","1","0","21","2","6","2","5","0","0","0","1","0","2","0","0","4","6",".333",".400",NA,".500","11.3","110","117","21.3","6.0","1.0","0.0","abrinal01"
"37","Chicago","1","0","19","3","6","1","3","0","0","0","2","2","0","1","1","0","7",".500",".333",NA,".583","17.8","105","104","18.9","7.0","2.0","2.0","abrinal01"
"38","Cleveland","1","0","8","0","1","0","1","0","0","0","0","1","0","0","0","0","0",".000",".000",NA,".000","5.1","43","111","7.7","0.0","0.0","1.0","abrinal01"
"39","Dallas","1","0","16","1","3","1","3","2","2","0","0","1","0","0","0","0","5",".333",".333","1.000",".644","10.9","147","113","16.4","5.0","0.0","1.0","abrinal01"
"40","Denver","1","0","20","1","4","1","3","4","4","0","2","3","1","0","0","3","7",".250",".333","1.000",".608","12.7","143","104","19.5","7.0","2.0","3.0","abrinal01"
"41","Detroit","2","0","18","1","7","1","5","2","2","0","1","1","0","0","1","2","5",".143",".200","1.000",".317","20.8","67","108","9.1","2.5","0.5","0.5","abrinal01"
"42","Golden State","2","0","33","2","7","1","6","2","2","1","4","1","1","0","0","1","7",".286",".167","1.000",".444","9.9","110","127","16.5","3.5","2.0","0.5","abrinal01"
"43","Houston","2","0","32","3","6","2","4","2","3","1","2","1","1","0","0","2","10",".500",".500",".667",".683","10.3","144","119","15.8","5.0","1.0","0.5","abrinal01"
"44","Indiana","1","0","23","4","9","0","4","0","0","0","0","1","1","0","1","0","8",".444",".000",NA,".444","18.2","87","112","22.6","8.0","0.0","1.0","abrinal01"
"45","LA Clippers","4","0","46","8","13","6","9","3","5","0","2","1","3","1","4","8","25",".615",".667",".600",".822","18.4","102","104","11.5","6.3","0.5","0.3","abrinal01"
"46","LA Lakers","2","0","9","1","3","0","1","3","3","0","0","1","1","1","0","0","5",".333",".000","1.000",".579","20.6","133","98","4.3","2.5","0.0","0.5","abrinal01"
"47","Memphis","2","0","43","4","14","4","11","4","4","2","3","0","0","0","2","3","16",".286",".364","1.000",".508","18.2","101","123","21.5","8.0","1.5","0.0","abrinal01"
"48","Miami","2","0","39","7","18","5","14","0","0","2","4","0","1","1","2","6","19",".389",".357",NA,".528","22.3","100","100","19.7","9.5","2.0","0.0","abrinal01"
"49","Milwaukee","1","0","14","2","6","2","4","0","0","1","2","1","1","0","0","2","6",".333",".500",NA,".500","21.6","114","108","13.9","6.0","2.0","1.0","abrinal01"
"50","Minnesota","3","0","42","3","11","3","7","2","2","0","4","2","2","0","1","6","11",".273",".429","1.000",".463","13.5","97","104","14.1","3.7","1.3","0.7","abrinal01"
"51","New Jersey","1","0","22","4","10","2","7","0","0","0","2","0","0","0","1","1","10",".400",".286",NA,".500","20.7","98","110","22.1","10.0","2.0","0.0","abrinal01"
