"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"581","30-39","2","1","60","7","10","0","0","6","12","4","14","1","0","4","2","10","20",".700",".500",".654","13.5","123","105","30.1","10.0","7.0","0.5","dedmode01",NA,NA
"582","20-29","35","21","834","97","161","0","1","49","65","82","285","12","21","53","34","116","243",".602",".754",".641","12.2","120","100","23.8","6.9","8.1","0.3","dedmode01",NA,NA
"583","10-19","90","22","1372","167","305","0","0","74","116","167","493","28","38","76","67","223","408",".548",".638",".573","13.8","110","103","15.2","4.5","5.5","0.3","dedmode01",NA,NA
"584","0-9","63","1","337","38","83","0","0","21","32","31","100","8","11","19","22","67","97",".458",".656",".500","15.7","92","105","5.4","1.5","1.6","0.1","dedmode01",NA,NA
"585","0 Days","42","14","687","90","165","0","0","58","76","74","236","11","20","44","22","102","238",".545",".763",".600","14.6","121","102","16.4","5.7","5.6","0.3","dedmode01",NA,NA
"586","1 Day","82","22","1161","122","234","0","1","57","91","134","412","31","31","66","69","193","301",".521",".626",".549","13.3","103","102","14.2","3.7","5.0","0.4","dedmode01",NA,NA
"587","2 Days","26","5","308","39","69","0","0","15","26","34","95","6","8","19","13","48","93",".565",".577",".578","13.5","111","104","11.8","3.6","3.7","0.2","dedmode01",NA,NA
"588","3+ Days","36","4","405","54","78","0","0","19","30","34","132","1","9","18","18","65","127",".692",".633",".696","12.1","118","106","11.2","3.5","3.7","0.0","dedmode01",NA,NA
"589","Eastern","113","31","1585","190","348","0","1","102","152","179","552","29","37","101","85","248","482",".546",".671",".581","14.2","108","102","14.0","4.3","4.9","0.3","dedmode01",NA,NA
"590","Western","77","14","1018","119","211","0","0","48","73","105","340","20","33","51","40","168","286",".564",".658",".588","12.5","115","103","13.2","3.7","4.4","0.3","dedmode01",NA,NA
"591","Atlantic","36","12","516","62","112","0","0","34","46","47","162","12","10","36","33","76","158",".554",".739",".597","14.3","105","99","14.3","4.4","4.5","0.3","dedmode01",NA,NA
"592","Central","38","15","571","79","131","0","0","35","54","73","207","9","14","34","28","89","193",".603",".648",".624","14.5","117","107","15.0","5.1","5.4","0.2","dedmode01",NA,NA
"593","Northwest","25","6","335","28","63","0","0","17","25","34","114","5","9","13","12","65","73",".444",".680",".493","11.7","105","102","13.4","2.9","4.6","0.2","dedmode01",NA,NA
"594","Pacific","28","4","382","51","79","0","0","21","30","42","130","8","15","21","15","55","123",".646",".700",".667","12.4","128","104","13.6","4.4","4.6","0.3","dedmode01",NA,NA
"595","Southeast","39","4","498","49","105","0","1","33","52","59","183","8","13","31","24","83","131",".467",".635",".512","13.7","101","100","12.8","3.4","4.7","0.2","dedmode01",NA,NA
"596","Southwest","24","4","301","40","69","0","0","10","18","29","96","7","9","17","13","48","90",".580",".556",".585","13.4","109","103","12.5","3.8","4.0","0.3","dedmode01",NA,NA
"597","Atlanta","8","1","101","6","12","0","0","2","4","8","28","0","3","7","7","15","14",".500",".500",".509","9.4","70","100","12.7","1.8","3.5","0.0","dedmode01",NA,NA
"598","Boston","8","3","122","19","33","0","0","7","12","15","46","1","2","5","8","11","45",".576",".583",".588","16.6","105","101","15.2","5.6","5.8","0.1","dedmode01",NA,NA
"599","CHA, CHO","10","1","131","14","26","0","1","10","14","12","49","1","4","7","6","25","38",".538",".714",".591","13.3","106","97","13.1","3.8","4.9","0.1","dedmode01",NA,NA
"600","Chicago","9","3","145","26","39","0","0","6","7","21","60","4","0","7","8","32","58",".667",".857",".689","15.5","126","104","16.2","6.4","6.7","0.4","dedmode01",NA,NA
"601","Cleveland","9","2","147","17","27","0","0","10","19","12","44","3","1","4","5","17","44",".630",".526",".622","13.0","117","119","16.4","4.9","4.9","0.3","dedmode01",NA,NA
"602","Dallas","4","1","62","9","16","0","0","4","4","4","22","0","3","4","1","11","22",".563","1.000",".619","13.9","125","103","15.4","5.5","5.5","0.0","dedmode01",NA,NA
"603","Denver","4","1","57","5","10","0","0","1","1","2","11","2","3","0","1","9","11",".500","1.000",".527","9.2","105","105","14.2","2.8","2.8","0.5","dedmode01",NA,NA
"604","Detroit","6","2","73","6","11","0","0","5","6","11","28","1","3","7","5","15","17",".545",".833",".623","11.1","110","107","12.2","2.8","4.7","0.2","dedmode01",NA,NA
"605","Golden State","5","0","48","7","12","0","0","0","0","5","15","0","2","2","1","6","14",".583",NA,".583","11.3","125","104","9.6","2.8","3.0","0.0","dedmode01",NA,NA
"606","Houston","6","1","73","5","10","0","0","1","2","6","19","1","4","5","4","13","11",".500",".500",".506","9.4","91","107","12.2","1.8","3.2","0.2","dedmode01",NA,NA
"607","Indiana","5","4","89","12","22","0","0","5","9","12","38","1","4","4","5","10","29",".545",".556",".559","15.8","107","101","17.8","5.8","7.6","0.2","dedmode01",NA,NA
"608","LA Clippers","5","0","71","7","14","0","0","6","8","5","22","3","2","1","2","8","20",".500",".750",".571","12.5","118","116","14.1","4.0","4.4","0.6","dedmode01",NA,NA
"609","LA Lakers","6","1","69","8","14","0","0","4","6","12","35","2","4","4","2","9","20",".571",".667",".601","12.1","136","96","11.6","3.3","5.8","0.3","dedmode01",NA,NA
"610","Memphis","3","1","45","8","9","0","0","2","7","5","13","0","0","1","2","7","18",".889",".286",".745","13.8","126","112","15.1","6.0","4.3","0.0","dedmode01",NA,NA
"611","Miami","10","1","130","18","39","0","0","14","22","25","53","3","1","4","7","23","50",".462",".636",".514","19.1","111","107","13.0","5.0","5.3","0.3","dedmode01",NA,NA
"612","Milwaukee","9","4","116","18","32","0","0","9","13","17","37","0","6","12","5","15","45",".563",".692",".597","16.4","117","100","12.9","5.0","4.1","0.0","dedmode01",NA,NA
"613","Minnesota","5","2","85","8","16","0","0","5","8","8","27","2","2","0","3","16","21",".500",".625",".538","11.8","115","102","16.9","4.2","5.4","0.4","dedmode01",NA,NA
"614","New Jersey","9","4","119","17","29","0","0","6","7","7","40","4","3","10","8","16","40",".586",".857",".623","15.1","104","96","13.2","4.4","4.4","0.4","dedmode01",NA,NA
"615","New Orleans","7","0","83","12","23","0","0","2","4","5","23","4","2","5","3","9","26",".522",".500",".525","15.1","105","95","11.8","3.7","3.3","0.6","dedmode01",NA,NA
"616","New York","4","1","62","10","18","0","0","4","5","9","19","1","2","7","4","12","24",".556",".800",".594","17.4","111","93","15.5","6.0","4.8","0.3","dedmode01",NA,NA
"617","Oklahoma City","5","1","53","3","7","0","0","5","6","8","22","0","3","3","2","14","11",".429",".833",".571","8.9","120","101","10.6","2.2","4.4","0.0","dedmode01",NA,NA
"618","Orlando","1","0","17","3","4","0","0","0","1","1","8","0","1","2","1","2","6",".750",".000",".676","14.4","100","87","17.2","6.0","8.0","0.0","dedmode01",NA,NA
"619","Philadelphia","5","1","62","2","10","0","0","8","8","6","21","0","1","3","8","12","12",".200","1.000",".444","15.4","71","99","12.3","2.4","4.2","0.0","dedmode01",NA,NA
"620","Phoenix","7","1","96","15","22","0","0","7","11","7","28","2","7","4","6","15","37",".682",".636",".689","14.7","120","98","13.7","5.3","4.0","0.3","dedmode01",NA,NA
"621","Portland","4","2","58","4","7","0","0","4","6","6","23","1","0","3","1","8","12",".571",".667",".622","8.4","138","108","14.6","3.0","5.8","0.3","dedmode01",NA,NA
"622","Sacramento","5","2","98","14","17","0","0","4","5","13","30","1","0","10","4","17","32",".824",".800",".833","10.9","148","105","19.5","6.4","6.0","0.2","dedmode01",NA,NA
"623","San Antonio","4","1","38","6","11","0","0","1","1","9","19","2","0","2","3","8","13",".545","1.000",".568","16.2","105","108","9.6","3.3","4.8","0.5","dedmode01",NA,NA
"624","Toronto","10","3","152","14","22","0","0","9","14","10","36","6","2","11","5","25","37",".636",".643",".657","10.0","123","103","15.2","3.7","3.6","0.6","dedmode01",NA,NA
"625","Utah","7","0","82","8","23","0","0","2","4","10","31","0","1","7","5","18","18",".348",".500",".363","17.4","78","99","11.8","2.6","4.4","0.0","dedmode01",NA,NA
"626","Washington","10","1","120","8","24","0","0","7","11","13","45","4","4","11","3","18","23",".333",".636",".399","12.0","97","97","12.0","2.3","4.5","0.4","dedmode01",NA,NA
"627","Total","263","151","6778","895","1725","15","48","530","682","594","1861","425","242","329","391","671","2335",".519",".777",".577","15.9","111","107","25.8","8.9","7.1","1.6","dienggo01",".313",NA
"628","Home","133","74","3469","425","826","7","20","258","336","319","939","203","111","155","199","333","1115",".515",".768",".572","15.0","110","107","26.1","8.4","7.1","1.5","dienggo01",".350",NA
"629","Road","130","77","3309","470","899","8","28","272","346","275","922","222","131","174","192","338","1220",".523",".786",".580","16.7","112","108","25.5","9.4","7.1","1.7","dienggo01",".286",NA
"630","Pre","188","97","4654","605","1181","10","35","346","444","412","1265","307","165","217","274","473","1566",".512",".779",".569","15.8","110","107","24.8","8.3","6.7","1.6","dienggo01",".286",NA
"631","Post","75","54","2124","290","544","5","13","184","238","182","596","118","77","112","117","198","769",".533",".773",".593","16.0","114","108","28.3","10.3","7.9","1.6","dienggo01",".385",NA
"632","Win","96","49","2294","322","582","9","21","155","206","182","631","149","82","118","124","238","808",".553",".752",".601","15.5","116","100","23.9","8.4","6.6","1.6","dienggo01",".429",NA
"633","Loss","167","102","4484","573","1143","6","27","375","476","412","1230","276","160","211","267","433","1527",".501",".788",".565","16.0","109","111","26.9","9.1","7.4","1.7","dienggo01",".222",NA
"634","October","6","2","139","16","32","0","2","10","10","15","45","6","3","11","4","12","42",".500","1.000",".577","13.4","124","103","23.1","7.0","7.5","1.0","dienggo01",".000",NA
"635","November","54","23","1223","158","309","2","7","88","116","117","333","84","53","61","82","134","406",".511",".759",".564","15.8","108","105","22.7","7.5","6.2","1.6","dienggo01",".286",NA
"636","December","53","33","1471","191","366","3","8","101","132","109","362","91","51","66","87","156","486",".522",".765",".573","15.4","108","108","27.8","9.2","6.8","1.7","dienggo01",".375",NA
"637","January","58","34","1467","195","387","4","13","113","139","135","413","93","50","69","81","132","507",".504",".813",".566","16.3","111","107","25.3","8.7","7.1","1.6","dienggo01",".308",NA
"638","February","32","11","762","94","177","2","7","69","96","77","223","50","21","26","41","74","259",".531",".719",".591","15.1","116","110","23.8","8.1","7.0","1.6","dienggo01",".286",NA
"639","March","44","32","1268","168","304","1","7","111","139","93","349","78","51","70","67","126","448",".553",".799",".613","15.2","116","107","28.8","10.2","7.9","1.8","dienggo01",".143",NA
"640","April","16","16","449","73","150","3","4","38","50","48","136","23","13","26","29","37","187",".487",".760",".544","19.8","106","107","28.1","11.7","8.5","1.4","dienggo01",".750",NA
"641","Sunday","31","19","777","103","200","1","5","62","81","68","213","41","28","28","50","74","269",".515",".765",".571","16.5","107","109","25.1","8.7","6.9","1.3","dienggo01",".200",NA
"642","Monday","43","24","1137","162","309","4","7","85","108","111","319","71","52","51","63","120","413",".524",".787",".579","16.2","112","107","26.4","9.6","7.4","1.7","dienggo01",".571",NA
"643","Tuesday","27","16","663","94","178","1","6","55","69","51","173","44","29","44","41","66","244",".528",".797",".586","16.5","111","105","24.6","9.0","6.4","1.6","dienggo01",".167",NA
"644","Wednesday","56","31","1455","186","350","3","9","106","139","126","426","102","47","66","84","135","481",".531",".763",".585","15.3","112","104","26.0","8.6","7.6","1.8","dienggo01",".333",NA
"645","Thursday","13","10","383","58","112","0","2","34","44","38","110","21","11","19","21","37","150",".518",".773",".571","17.5","115","108","29.5","11.5","8.5","1.6","dienggo01",".000",NA
"646","Friday","51","29","1313","167","324","3","9","104","139","115","361","86","49","70","72","128","441",".515",".748",".572","15.5","112","108","25.8","8.6","7.1","1.7","dienggo01",".333",NA
"647","Saturday","42","22","1049","125","252","3","10","84","102","85","259","60","26","51","60","111","337",".496",".824",".568","15.3","109","111","25.0","8.0","6.2","1.4","dienggo01",".300",NA
"648","Starter","151","151","4871","667","1267","14","45","365","472","425","1286","327","161","236","251","438","1713",".526",".773",".581","15.8","115","109","32.3","11.3","8.5","2.2","dienggo01",".311",NA
"649","Reserve","112","0","1907","228","458","1","3","165","210","169","575","98","81","93","140","233","622",".498",".786",".565","16.1","103","102","17.0","5.6","5.1","0.9","dienggo01",".333",NA
"650","40+","12","12","509","70","112","1","4","40","52","40","131","32","18","23","27","40","181",".625",".769",".671","14.3","125","105","42.4","15.1","10.9","2.7","dienggo01",".250",NA
"651","30-39","100","91","3476","474","901","13","39","270","338","299","927","230","121","160","174","296","1231",".526",".799",".586","15.7","116","109","34.8","12.3","9.3","2.3","dienggo01",".333",NA
"652","20-29","81","42","2063","264","526","1","4","167","220","180","571","131","69","101","129","226","696",".502",".759",".559","16.3","107","108","25.5","8.6","7.0","1.6","dienggo01",".250",NA
"653","10-19","35","5","556","67","135","0","1","44","56","54","159","24","25","25","48","74","178",".496",".786",".558","16.6","98","104","15.9","5.1","4.5","0.7","dienggo01",".000",NA
"654","0-9","35","1","175","20","51","0","0","9","16","21","73","8","9","20","13","35","49",".392",".563",".422","17.3","84","90","5.0","1.4","2.1","0.2","dienggo01",NA,NA
"655","0 Days","50","31","1312","164","339","3","8","93","118","126","365","88","47","74","64","135","424",".484",".788",".542","15.5","111","110","26.2","8.5","7.3","1.8","dienggo01",".375",NA
"656","1 Day","150","93","4136","553","1051","11","28","336","435","350","1144","252","138","187","259","388","1453",".526",".772",".585","16.2","110","107","27.6","9.7","7.6","1.7","dienggo01",".393",NA
"657","2 Days","35","22","922","128","239","1","9","75","91","71","237","68","37","43","46","98","332",".536",".824",".595","15.7","117","107","26.3","9.5","6.8","1.9","dienggo01",".111",NA
"658","3+ Days","24","4","321","41","77","0","2","22","30","37","89","12","17","19","18","39","104",".532",".733",".576","14.3","111","102","13.4","4.3","3.7","0.5","dienggo01",".000",NA
"659","Eastern","99","53","2535","334","634","7","20","183","234","197","681","164","95","130","160","241","858",".527",".782",".582","15.8","110","106","25.6","8.7","6.9","1.7","dienggo01",".350",NA
"660","Western","164","98","4242","561","1091","8","28","347","448","397","1180","261","147","199","231","430","1477",".514",".775",".573","15.9","112","108","25.9","9.0","7.2","1.6","dienggo01",".286",NA
"661","Atlantic","33","23","926","134","241","1","5","62","93","70","235","63","39","47","55","86","331",".556",".667",".587","16.1","111","106","28.1","10.0","7.1","1.9","dienggo01",".200",NA
"662","Central","33","13","720","80","152","1","3","60","68","57","184","46","26","35","53","69","221",".526",".882",".607","14.7","108","108","21.8","6.7","5.6","1.4","dienggo01",".333",NA
"663","Northwest","50","28","1266","152","312","2","8","102","133","105","322","77","47","67","66","132","408",".487",".767",".551","15.4","108","106","25.3","8.2","6.4","1.5","dienggo01",".250",NA
"664","Pacific","55","34","1498","199","366","3","11","123","157","128","405","98","47","71","87","153","524",".544",".783",".602","15.2","115","108","27.2","9.5","7.4","1.8","dienggo01",".273",NA
"665","Southeast","33","17","889","120","241","5","12","61","73","70","262","55","30","48","52","86","306",".498",".836",".560","16.5","109","103","26.9","9.3","7.9","1.7","dienggo01",".417",NA
"666","Southwest","59","36","1478","210","413","3","9","122","158","164","453","86","53","61","78","145","545",".508",".772",".565","16.9","113","110","25.1","9.2","7.7","1.5","dienggo01",".333",NA
"667","Atlanta","7","4","209","29","54","0","1","14","16","19","64","17","10","13","10","18","72",".537",".875",".590","15.4","121","96","29.9","10.3","9.1","2.4","dienggo01",".000",NA
"668","Boston","7","5","190","35","63","1","2","7","13","19","48","10","7","9","11","16","78",".556",".538",".568","18.4","109","109","27.1","11.1","6.9","1.4","dienggo01",".500",NA
"669","CHA, CHO","8","5","200","22","52","2","5","13","13","13","57","7","4","10","19","21","59",".423","1.000",".511","17.3","87","110","25.0","7.4","7.1","0.9","dienggo01",".400",NA
"670","Chicago","7","3","183","27","47","1","3","14","18","19","50","9","3","6","10","16","69",".574",".778",".628","16.1","120","107","26.2","9.9","7.1","1.3","dienggo01",".333",NA
"671","Cleveland","6","1","116","10","22","0","0","21","23","8","33","11","7","7","9","16","41",".455",".913",".638","15.6","117","115","19.3","6.8","5.5","1.8","dienggo01",NA,NA
"672","Dallas","11","6","242","41","76","0","1","11","18","38","81","8","8","3","11","25","93",".539",".611",".554","17.7","114","112","22.0","8.5","7.4","0.7","dienggo01",".000",NA
