"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"308","2016-17","29","PHI","NBA","PF","44","31","27.7","5.6","12.4",".456","2.2","5.7",".382","3.5","6.7",".519",".544","1.9","2.4",".776","1.4","4.7","6.1","1.8","0.5","0.3","1.5","2.4","15.3","ilyaser01"
"309","2016-17","19","LAL","NBA","SF","51","14","27.7","2.8","7.8",".356","0.6","2.3",".280","2.1","5.5",".388",".398","1.7","2.6",".672","0.7","3.3","4.0","2.0","0.5","0.4","1.3","1.9","7.9","ingrabr01"
"310","2001-02","21","NJN","NBA","SF","79","9","24.3","3.4","7.5",".457","0.2","0.7",".232","3.3","6.8",".480",".468","2.4","3.4",".713","1.1","2.6","3.7","1.8","0.8","0.6","1.4","2.7","9.4","jefferi01"
"311","2002-03","22","NJN","NBA","SF","80","80","36.0","5.7","11.4",".501","0.1","0.3",".250","5.6","11.1",".507",".504","4.1","5.5",".743","1.9","4.6","6.4","2.5","1.0","0.6","2.0","2.7","15.5","jefferi01"
"312","2003-04","23","NJN","NBA","SF","82","82","38.2","6.8","13.6",".498","0.6","1.6",".364","6.2","12.0",".516",".519","4.4","5.7",".763","1.3","4.3","5.7","3.8","1.1","0.3","2.4","2.7","18.5","jefferi01"
"313","2004-05","24","NJN","NBA","SF","33","33","41.1","7.2","17.1",".422","0.9","2.7",".337","6.3","14.4",".438",".449","6.9","8.2",".844","1.5","5.8","7.3","4.0","1.0","0.5","4.0","3.3","22.2","jefferi01"
"314","2005-06","25","NJN","NBA","SF","78","78","39.2","6.3","12.9",".493","0.8","2.4",".319","5.6","10.5",".532",".522","6.0","7.4",".812","1.2","5.6","6.8","3.8","0.8","0.2","2.2","2.5","19.5","jefferi01"
"315","2006-07","26","NJN","NBA","SF","55","53","35.6","5.5","12.1",".456","0.9","2.6",".359","4.6","9.5",".483",".495","4.3","5.9",".733","0.9","3.5","4.4","2.7","0.6","0.1","2.2","2.2","16.3","jefferi01"
"316","2007-08","27","NJN","NBA","SF","82","82","39.0","7.5","16.2",".466","0.9","2.6",".362","6.6","13.6",".486",".495","6.6","8.3",".798","1.1","3.0","4.2","3.1","0.9","0.3","2.4","2.7","22.6","jefferi01"
"317","2008-09","28","MIL","NBA","SF","82","82","35.8","6.5","14.9",".439","1.4","3.6",".397","5.1","11.3",".453",".487","5.1","6.3",".805","0.7","3.9","4.6","2.4","0.8","0.2","2.0","3.1","19.6","jefferi01"
"318","2009-10","29","SAS","NBA","SF","81","70","31.1","4.5","9.6",".467","0.7","2.3",".316","3.7","7.3",".515",".505","2.6","3.5",".735","0.7","3.7","4.4","2.0","0.6","0.5","1.3","2.2","12.3","jefferi01"
"319","2010-11","30","SAS","NBA","SF","81","81","30.4","3.8","7.9",".474","1.7","3.8",".440","2.1","4.1",".504",".579","1.8","2.4",".759","0.7","3.2","3.8","1.3","0.5","0.4","1.1","2.0","11.0","jefferi01"
"320","2011-12","31","TOT","NBA","SF","63","44","27.7","3.2","7.7",".416","1.8","4.3",".420","1.4","3.5",".411",".532","0.9","1.3",".694","0.4","3.1","3.5","1.4","0.6","0.3","0.8","1.9","9.2","jefferi01"
"321","2011-12","31","SAS","NBA","SF","41","41","28.5","3.2","7.8",".414","2.0","4.6",".421","1.3","3.1",".403",".539","0.9","1.2",".700","0.4","3.0","3.5","1.3","0.6","0.3","0.8","2.0","9.2","jefferi01"
"322","2011-12","31","GSW","NBA","SF","22","3","26.4","3.2","7.7",".420","1.5","3.6",".418","1.7","4.1",".422",".518","1.1","1.6",".686","0.4","3.1","3.5","1.5","0.5","0.3","0.8","1.7","9.0","jefferi01"
