"","per_game.Season","per_game.Age","per_game.Tm","per_game.Lg","per_game.Pos","per_game.G","per_game.GS","per_game.MP","per_game.FG","per_game.FGA","per_game.FG.","per_game.3P","per_game.3PA","per_game.3P.","per_game.2P","per_game.2PA","per_game.2P.","per_game.eFG.","per_game.FT","per_game.FTA","per_game.FT.","per_game.ORB","per_game.DRB","per_game.TRB","per_game.AST","per_game.STL","per_game.BLK","per_game.TOV","per_game.PF","per_game.PTS","player_id"
"54","2012-13","28","MIN","NBA","PG","74","2","23.1","4.3","10.2",".417","1.3","3.8",".346","3.0","6.5",".458",".481","1.4","1.8",".784","0.5","2.3","2.8","4.0","0.4","0.0","2.0","1.8","11.3","bareajo01"
"55","2013-14","29","MIN","NBA","PG","79","1","18.6","3.2","8.3",".387","0.9","2.9",".316","2.3","5.4",".426",".443","1.0","1.3",".790","0.2","1.7","1.9","3.8","0.3","0.0","1.6","1.6","8.4","bareajo01"
"56","2014-15","30","DAL","NBA","PG","77","10","17.7","2.9","7.0",".420","0.7","2.2",".323","2.2","4.8",".463",".470","1.0","1.2",".809","0.3","1.4","1.7","3.4","0.4","0.0","0.9","1.4","7.5","bareajo01"
"57","2015-16","31","DAL","NBA","PG","74","16","22.5","4.3","9.6",".446","1.4","3.5",".385","2.9","6.1",".481",".516","1.0","1.3",".771","0.4","1.7","2.1","4.1","0.4","0.0","1.5","1.5","10.9","bareajo01"
"58","2016-17","32","DAL","NBA","PG","18","5","24.7","4.5","10.7",".422","1.4","4.1",".351","3.1","6.6",".466",".490","1.7","1.8",".939","0.3","2.6","2.9","4.9","0.5","0.1","1.7","0.7","12.2","bareajo01"
"59","2012-13","22","POR","NBA","SG","73","5","12.2","1.6","4.2",".382","0.1","0.9",".138","1.5","3.3",".447",".396","0.7","0.9",".769","0.5","1.5","2.0","0.8","0.5","0.1","0.8","0.8","4.0","bartowi01"
"60","2013-14","23","POR","NBA","SG","41","0","9.4","1.6","3.8",".417","0.2","0.8",".303","1.3","3.0",".447",".449","0.6","0.8",".813","0.4","1.4","1.8","0.8","0.2","0.2","0.4","0.8","4.0","bartowi01"
"61","2014-15","24","TOT","NBA","SG","58","0","16.9","2.6","6.1",".425","0.4","1.5",".271","2.2","4.6",".474",".458","1.3","1.6",".787","0.4","2.3","2.8","1.4","0.8","0.3","1.1","1.2","6.8","bartowi01"
"62","2014-15","24","POR","NBA","SG","30","0","10.0","1.3","3.3",".380","0.1","0.6",".222","1.1","2.7",".415",".400","0.3","0.5",".667","0.1","1.0","1.1","0.9","0.5","0.1","0.6","0.7","3.0","bartowi01"
"63","2014-15","24","DEN","NBA","SG","28","0","24.4","4.0","9.0",".443","0.7","2.4",".284","3.3","6.6",".500",".480","2.3","2.8",".810","0.8","3.8","4.6","1.9","1.2","0.5","1.6","1.8","11.0","bartowi01"
"64","2015-16","25","DEN","NBA","SG","82","1","28.7","5.2","12.0",".432","1.4","4.0",".345","3.8","8.0",".476",".489","2.6","3.3",".806","0.7","5.1","5.8","2.5","0.9","0.5","1.7","1.8","14.4","bartowi01"
"65","2016-17","26","DEN","NBA","SG","34","17","28.3","4.7","10.3",".454","1.4","3.3",".407","3.3","7.0",".477",".520","2.5","3.3",".761","0.9","3.4","4.3","3.0","0.8","0.4","1.6","1.9","13.2","bartowi01"
"66","2008-09","20","POR","NBA","PG","53","0","12.4","1.3","3.6",".365","0.1","0.5",".259","1.2","3.1",".383",".384","1.6","1.9",".806","0.2","0.9","1.1","1.5","0.3","0.0","1.1","1.5","4.3","bayleje01"
"67","2009-10","21","POR","NBA","SG","74","11","17.6","2.7","6.5",".414","0.4","1.2",".315","2.3","5.3",".437",".444","2.7","3.3",".831","0.2","1.4","1.6","2.3","0.4","0.1","1.3","2.1","8.5","bayleje01"
"68","2010-11","22","TOT","NBA","PG","71","14","21.1","3.1","7.3",".422","0.7","2.1",".336","2.4","5.2",".456",".469","2.3","2.9",".806","0.4","2.0","2.3","3.7","0.5","0.1","1.8","2.1","9.2","bayleje01"
"69","2010-11","22","NOH","NBA","PG","11","0","13.5","1.5","4.5",".347","0.3","1.3",".214","1.3","3.2",".400",".378","1.2","1.5",".765","0.2","1.2","1.4","2.5","0.2","0.1","1.5","1.5","4.5","bayleje01"
"70","2010-11","22","TOR","NBA","PG","60","14","22.5","3.4","7.8",".429","0.8","2.2",".348","2.6","5.6",".461",".479","2.6","3.2",".810","0.4","2.1","2.5","4.0","0.6","0.1","1.8","2.2","10.0","bayleje01"
"71","2011-12","23","TOR","NBA","PG","31","11","22.7","3.8","8.9",".424","1.4","3.4",".423","2.4","5.5",".424",".504","2.4","2.8",".852","0.3","1.9","2.1","3.8","0.8","0.1","1.7","2.3","11.4","bayleje01"
"72","2012-13","24","MEM","NBA","PG","80","4","22.1","3.3","7.8",".419","0.9","2.5",".353","2.4","5.3",".450",".476","1.3","1.5",".836","0.3","1.9","2.2","3.3","0.7","0.2","1.5","2.1","8.7","bayleje01"
"73","2013-14","25","TOT","NBA","PG","72","19","23.4","3.4","8.6",".402","1.1","2.9",".358","2.4","5.6",".425",".464","1.3","1.6",".797","0.3","1.7","2.0","2.7","0.8","0.1","1.1","2.2","9.3","bayleje01"
"74","2013-14","25","MEM","NBA","PG","31","5","21.0","2.9","7.7",".377","0.8","2.7",".301","2.1","5.0",".417",".429","1.5","1.8",".789","0.3","1.6","1.9","2.1","0.6","0.2","0.7","2.3","8.1","bayleje01"
"75","2013-14","25","BOS","NBA","PG","41","14","25.3","3.9","9.2",".418","1.2","3.1",".395","2.6","6.1",".430",".485","1.2","1.5",".803","0.3","1.8","2.1","3.1","1.0","0.1","1.5","2.2","10.1","bayleje01"
"76","2014-15","26","MIL","NBA","PG","77","4","22.3","2.9","6.7",".426","0.5","1.6",".308","2.4","5.1",".462",".462","1.6","1.8",".883","0.3","2.5","2.7","3.0","0.8","0.2","1.7","2.1","7.8","bayleje01"
"77","2015-16","27","MIL","NBA","SG","52","18","28.9","3.6","8.4",".423","1.9","4.4",".437","1.6","4.0",".408",".539","1.3","1.7",".778","0.4","2.3","2.7","3.1","0.9","0.2","1.4","2.1","10.4","bayleje01"
"78","2016-17","28","PHI","NBA","PG","3","1","23.7","3.7","10.7",".344","0.7","1.7",".400","3.0","9.0",".333",".375","3.0","3.3",".900","1.0","3.0","4.0","4.3","0.0","0.0","3.0","1.3","11.0","bayleje01"
